"","Name","Location","Tags","Group","Type","Source Zone","Source Address","Source User","Source Device","Destination Zone","Destination Address","Destination Device","Application","Service","URL Category","Action","Profile","Options","Rule UUID","Target","Rule Usage Description","Rule Usage Rule Usage","Rule Usage Apps Seen","Days With No New Apps","Modified","Created"
"37","VPN-AlwaysOn-Instandhaltung","PA01","none","none","universal","SSL-VPN","VPN-AlwaysOn-Clients;VPN-AlwaysOn-Clients-NoSplitTunnel","haecker-dom\instandhaltung_gesamt","any","trust","GLTPC-W2-INSTANDHALTUNG;GLTPC-W2-INSTANDHALTUNG-NEU;Kesselhaus;VLan-781_GLT;VMWEIB","any","any","any","any","Allow","Profile Group: Haecker_VW_ohne_File_ohne_URL","Traffic log sent at session end;Log Forwarding Profile setting: default","729d00b6-fe9f-4b25-870b-2566e81c7168","any","none","Used","8","379","2022-03-15 11:38:41","2021-07-29 13:42:50"
"38","VPN-AlwaysOn-Instandhaltung Venne","PA01","VENNE","none","universal","SSL-VPN","VPN-AlwaysOn-Clients;VPN-AlwaysOn-Clients-NoSplitTunnel","haecker-dom\instandhaltung_gesamt","any","HK_Venne","Venne Servernetz;Venne_VLan_781_GLT;Venne_VLan_782_GLT-Phoenix","any","any","any","any","Allow","Profile Group: Haecker_VW_ohne_File_ohne_URL","Traffic log sent at session end;Log Forwarding Profile setting: default","7bc0102f-aaeb-45a2-8deb-f8d988bce1c5","any","none","Partially Used","19","123","2022-01-27 11:21:29","2021-07-29 13:42:50"
"39","[Disabled]  Mobibox Verbindung Venne-1","PA01","[Disabled]  VENNE","[Disabled]  none","[Disabled] universal","[Disabled]  trust","[Disabled]  mobibox","[Disabled]  any","[Disabled]  any","[Disabled]  HK_Venne","[Disabled]  Venne Servernetz;[Disabled]  Venne_VLan_781_GLT;[Disabled]  Venne_VLan_782_GLT-Phoenix","[Disabled]  any","[Disabled]  any","[Disabled]  any","[Disabled]  any","[Disabled]  Allow","Profile Group: Haecker_VW_ohne_File_ohne_URL","Traffic log sent at session end;Log Forwarding Profile setting: default","d6c3753d-573f-4bd2-ae9c-6bf079223803","[Disabled] any","[Disabled]  none","Used","0","-","2022-03-30 07:15:07","2021-07-29 13:42:50"
"40","[Disabled]  Mobibox Verbindung Venne-2","PA01","[Disabled]  VENNE","[Disabled]  none","[Disabled] universal","[Disabled]  HK_Venne","[Disabled]  Venne Servernetz;[Disabled]  Venne_VLan_781_GLT;[Disabled]  Venne_VLan_782_GLT-Phoenix","[Disabled]  any","[Disabled]  any","[Disabled]  trust","[Disabled]  mobibox","[Disabled]  any","[Disabled]  any","[Disabled]  any","[Disabled]  any","[Disabled]  Allow","Profile Group: Haecker_VW_ohne_File_ohne_URL","Traffic log sent at session end;Log Forwarding Profile setting: default","2c85f4f0-460f-46d6-b985-99ad79bebf99","[Disabled] any","[Disabled]  none","Unused","0","-","2023-01-24 16:48:05","2021-07-29 13:42:50"
"41","VPN-AlwaysOn-Clients zu DMZ","PA01","none","none","universal","SSL-VPN","VPN-AlwaysOn-Clients;VPN-AlwaysOn-Clients-NoSplitTunnel","any","any","dmz","any","any","CRL;ms-ds-smbv2;ms-ds-smbv3;msrpc-base;ssl;stun;web-browsing","any","any","Allow","Profile Group: Haecker_VW_ohne_File_ohne_URL","Traffic log sent at session end;Log Forwarding Profile setting: default","f6c3ceca-2e2d-4ed9-aed1-cf913f6261d2","any","none","Used","5","89","2022-12-06 11:22:52","2021-07-29 13:42:50"
"42","VPN-AlwaysOn-Clients zu Venne","PA01","VENNE;SSL-VPN","none","universal","SSL-VPN","SSL-Clients;VPN-AlwaysOn-Clients;VPN-AlwaysOn-Clients-NoSplitTunnel","any","any","HK_Venne","any","any","any","any","any","Allow","Profile Group: Haecker_SSLVPN","Traffic log sent at session end;Log Forwarding Profile setting: default","51583c6f-7197-4066-9dbe-9e1a0e666197","any","none","Used","53","55","2023-03-09 16:53:01","2021-07-29 13:42:50"
"43","[Disabled]  SSL-VPN-Net-Select","PA01","[Disabled]  SSL-VPN;[Disabled]  Net-Select","[Disabled]  SSL-VPN","[Disabled] universal","[Disabled]  SSL-VPN","[Disabled]  any","[Disabled]  haecker-dom\net-select","[Disabled]  any","[Disabled]  trust","[Disabled]  10.83.0.0/16;[Disabled]  10.83.10.0/24;[Disabled]  10.83.11.0/24;[Disabled]  10.83.12.0/24;[Disabled]  10.83.13.0/24;[Disabled]  10.83.27.0/24;[Disabled]  10.83.28.0/24;[Disabled]  10.83.31.0/24;[Disabled]  10.83.32.0/24;[Disabled]  VLan-244_MGMT_10.255","[Disabled]  any","[Disabled]  dns;[Disabled]  icmp;[Disabled]  ping;[Disabled]  ssh;[Disabled]  ssl;[Disabled]  web-browsing","[Disabled]  any","[Disabled]  any","[Disabled]  Allow","none","Traffic log sent at session end","2d738b75-418a-47a8-bd69-483a913b6014","[Disabled] any","[Disabled]  none","-","0","-","2021-07-29 13:42:50","2021-07-29 13:42:50"
"44","Honeywell_SWE_Homeoffice","PA01","none","none","universal","SSL-VPN","any","haecker-dom\vpn-fzimmerm;haecker-dom\vpn-menns","any","trust","apex;apex-k;apex-t;Domaincontroller-Gruppe;lnxchappi;vmwadf01;vmwlnxws01","any","any","DNS-UDP;service-https;TCP7101;TCP9001;VMWADF01_TCP_7011","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","7b8365a3-d78b-4a82-9217-c7e0fc837a5d","any","none","Partially Used","1","628","2021-07-29 14:31:05","2021-07-29 13:42:50"
"45","WAPP-SSL-1","PA01","WAPP","WAPP","universal","SSL-VPN","any","haecker-dom\vpn-wapp-burkert;haecker-dom\vpn-wapp-kroeger;haecker-dom\vpn-wapp-stickan","any","trust","apex-k;apex-t;Domaincontroller-Gruppe;lnxchappi;vmwadf01;vmwlnxws01","any","any","DNS-UDP;service-https;TCP7101;TCP9001;VMWADF01_TCP_7011","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","079f4089-47bc-44eb-a43e-dfb5c31e9c0f","any","none","Partially Used","1","637","2021-07-29 14:31:05","2021-07-29 13:42:50"
"46","WAPP-SSL-2","PA01","WAPP","WAPP","universal","trust","apex-k;apex-t;Domaincontroller-Gruppe;lnxchappi;vmwadf01;vmwlnxws01","any","any","SSL-VPN","any","any","any","any","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","ac607d72-cfe3-434e-969f-1197b654bea4","any","none","Partially Used","2","319","2021-07-29 14:31:05","2021-07-29 13:42:50"
"47","BaumerInspection-Support","PA01","Baumer","Baumer","universal","SSL-VPN","any","haecker-dom\vpn-baumer","any","trust","Baumer Inspection","any","ssh;vnc-base;vnc-encrypted","application-default","any","Allow","Profile Group: Grp_AV_AS_VP_01","Traffic log sent at session end;Log Forwarding Profile setting: default","4fbc82fd-7782-4df6-a470-e054f64f7700","any","none","Partially Used","2","638","2021-07-29 14:31:05","2021-07-29 13:42:50"
"48","BaumerInspection-Support-SQL-Server","PA01","Baumer;SQL","Baumer","universal","SSL-VPN","any","haecker-dom\vpn-baumer","any","trust","wi216sqln01","any","any","TCP1433","any","Allow","Profile Group: Grp_AV_AS_VP_01","Traffic log sent at session end;Log Forwarding Profile setting: default","ffa8950a-3519-4fe0-91f7-becc843c6e28","any","none","Used","1","652","2021-07-29 14:31:05","2021-07-29 13:42:50"
"49","DocoScan-SSL-1","PA01","DocuScan","DocuScan","universal","SSL-VPN","any","haecker-dom\vpn-docuscan","any","trust","wi216abbyy1;wi216jobrouter1;wi216jobsql1","any","ms-rdp;netbios-ss;ping","any","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","ab829198-0442-49b5-a058-c5d529d8da98","any","none","Partially Used","1","643","2021-07-29 14:31:05","2021-07-29 13:42:50"
"50","DocoScan-SSL-3","PA01","DocuScan","DocuScan","universal","SSL-VPN","any","haecker-dom\vpn-docuscan","any","trust","appconnector-t;dmsws.haecker-kuechen.de;WI219ENAIO-T1","any","ssl;web-browsing","any","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","255c1df6-ad25-4b3f-b2a2-854bf4bcbeb2","any","none","Unused","0","-","2021-09-09 08:09:08","2021-09-09 08:03:40"
"51","DocoScan-SSL-2","PA01","DocuScan","DocuScan","universal","SSL-VPN","any","haecker-dom\vpn-docuscan","any","trust","Domaincontroller-Gruppe","any","dns","application-default","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","38e2d023-9818-4c27-8194-bea25eac1f97","any","none","Unused","0","-","2021-07-29 14:31:05","2021-07-29 13:42:50"
"52","Any to Netscaler Gateways EDT","PA01","Netscaler","Netscaler","universal","trust;untrust","any","any","any","DMZ_Public","home-t.haecker-kuechen.de;home.haecker-kuechen.de;home.haecker-kuechen.de_v6;home6.haecker-kuechen.de_v6;icaproxy.haecker-kuechen.de;icaproxy.haecker-kuechen.de_v6","any","any","service-http;service-https;service-https-UDP","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict","Traffic log sent at session end;Log Forwarding Profile setting: default","33ce2361-1475-41a8-ba71-fe57fab4f5e2","any","trust und untrust da jeglicher ICA Traffic durch den Netscaler geht","Used","34","43","2022-02-10 11:42:08","2021-07-29 13:42:50"
"53","PING to ICAPROXY","PA01","Netscaler","Netscaler","universal","trust;untrust","any","any","any","DMZ_Public","icaproxy.haecker-kuechen.de;icaproxy.haecker-kuechen.de_v6","any","icmp;ipv6-icmp;ping;ping6","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict","Traffic log sent at session end;Log Forwarding Profile setting: default","dd374eb3-4d87-4d04-a91a-b3d38474f82a","any","trust und untrust da jeglicher ICA Traffic durch den Netscaler geht","Used","5","36","2022-02-10 11:42:08","2021-07-29 13:42:50"
"54","Netscaler Management","PA01","Netscaler","Netscaler","universal","trust","any","any","any","DMZ_Public","Netscaler-DMZ","any","any","AppFlow;Ping;service-https;service-ssh","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","d24fd340-0e06-4098-ac8a-763272f12c73","any","none","Used","5","344","2021-07-29 14:31:05","2021-07-29 13:42:50"
"55","Netscaler-DMZ to DCs","PA01","Netscaler","Netscaler","universal","DMZ_Public","Netscaler-DMZ","any","any","trust","Domaincontroller-Gruppe","any","any","DNS-TCP;DNS-UDP;Kerberos;LDAPS;service-https","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","8befc663-50cb-4fa8-8673-d3591b29521f","any","Authentication und DNS UDP","Used","5","49","2021-07-29 14:31:05","2021-07-29 13:42:50"
"56","Netscaler-DMZ to untrust","PA01","Netscaler","Netscaler","universal","DMZ_Public","Netscaler-DMZ","any","any","untrust","any","any","any","service-http;service-https","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","2105dd1d-0872-402b-bb31-6034284dbc88","any","OAuth und co.","Used","4","68","2021-07-29 13:42:50","2021-07-29 13:42:50"
"57","Netscaler-DMZ to PRTG Probe","PA01","Netscaler","Netscaler","universal","DMZ_Public","NSDMZ1-SNIP","any","any","trust","WI216PRTG-P2","any","any","PRTG Remote Probe","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","c0c0c870-a1a2-4c0b-9c0e-14a966cf7c5a","any","none","Used","11","399","2022-09-06 11:24:02","2021-07-29 13:42:50"
"58","Netscaler-DMZ SNIP to LAN","PA01","Netscaler","Netscaler","universal","DMZ_Public","NSDMZ1-SNIP","any","any","trust","VLan-2105_Server_10.105.0.0;VLan-2110_Extranet-LAN-P;VLan-2111_Extranet-LAN-K","any","any","Citrix APPFlow IPFIX;Citrix UDP-Audio;Citrix-HDX-1494-TCP;Citrix-HDX-1494-UDP;Citrix-HDX-2598-TCP;Citrix-HDX-2598-UDP;DNS-TCP;DNS-UDP;enaio dms webservice;ICAP;MQTT;Netscaler LogStream;service-http;service-https;service-https-UDP;TCP8000;VMWADF01_TCP_7011","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","6bf3325d-7d0f-473e-a83c-a9347779cce9","any","none","Used","52","11","2023-03-06 14:24:52","2021-07-29 13:42:50"
"59","NSDMZ to Lan ICMP NTP","PA01","Netscaler","Netscaler","universal","DMZ_Public","NSDMZ1-SNIP;PANRZNSDMZ1;W2RZNSDMZ1","any","any","trust","any","any","ntp;ping","application-default","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","0441583c-a8b8-4392-80c5-16f89ac24503","any","none","Used","3","45","2023-03-06 14:24:52","2021-07-29 13:42:50"
